Circuit ID,Circuit Name,Grand Prix,Location,Latitude,Longitude
adelaide,Adelaide Street Circuit,Australian Grand Prix,Adelaide,-34.9272,138.617
ain-diab,Ain Diab,Moroccan Grand Prix,Casablanca,33.5786,-7.6875
aintree,Aintree,British Grand Prix,Liverpool,53.4769,-2.94056
albert_park,Albert Park Grand Prix Circuit,Australian Grand Prix,Melbourne,-37.8497,144.968
americas,Circuit of the Americas,United States Grand Prix,Austin,30.1328,-97.6411
anderstorp,Scandinavian Raceway,Swedish Grand Prix,Anderstorp,57.2653,13.6042
avus,AVUS,German Grand Prix,Berlin,52.4806,13.2514
bahrain,Bahrain International Circuit,Bahrain Grand Prix,Sakhir,26.0325,50.5106
baku,Baku City Circuit,European Grand Prix,Baku,40.3725,49.8533
boavista,Circuito da Boavista,Portuguese Grand Prix,Oporto,41.1705,-8.67325
brands_hatch,Brands Hatch,British Grand Prix,Kent,51.3569,0.263056
bremgarten,Circuit Bremgarten,Swiss Grand Prix,Bern,46.9589,7.40194
buddh,Buddh International Circuit,Indian Grand Prix,Uttar Pradesh,28.3487,77.5331
catalunya,Circuit de Barcelona-Catalunya,Spanish Grand Prix,Montmeló,41.57,2.26111
charade,Charade Circuit,French Grand Prix,Clermont-Ferrand,45.7472,3.03889
dallas,Fair Park,Dallas Grand Prix,Dallas,32.7774,-96.7587
detroit,Detroit Street Circuit,Detroit Grand Prix,Detroit,42.3298,-83.0401
dijon,Dijon-Prenois,French Grand Prix,Dijon,47.3625,4.89913
donington,Donington Park,European Grand Prix,Castle Donington,52.8306,-1.37528
essarts,Rouen-Les-Essarts,French Grand Prix,Rouen,49.3306,1.00458
estoril,Autódromo do Estoril,Portuguese Grand Prix,Estoril,38.7506,-9.39417
fuji,Fuji Speedway,Japanese Grand Prix,Oyama,35.3717,138.927
galvez,Autódromo Juan y Oscar Gálvez,Argentine Grand Prix,Buenos Aires,-34.6943,-58.4593
george,Prince George Circuit,South African Grand Prix,Eastern Cape Province,-33.0486,27.8736
hockenheimring,Hockenheimring,German Grand Prix,Hockenheim,49.3278,8.56583
hungaroring,Hungaroring,Hungarian Grand Prix,Budapest,47.5789,19.2486
imola,Autodromo Enzo e Dino Ferrari,Italian Grand Prix,Imola,44.3439,11.7167
indianapolis,Indianapolis Motor Speedway,Indianapolis 500,Indianapolis,39.795,-86.2347
interlagos,Autódromo José Carlos Pace,Brazilian Grand Prix,São Paulo,-23.7036,-46.6997
istanbul,Istanbul Park,Turkish Grand Prix,Istanbul,40.9517,29.405
jacarepagua,Autódromo Internacional Nelson Piquet,Brazilian Grand Prix,Rio de Janeiro,-22.9756,-43.395
jarama,Jarama,Spanish Grand Prix,Madrid,40.6171,-3.58558
jeddah,Jeddah Corniche Circuit,Saudi Arabian Grand Prix,Jeddah,21.6319,39.1044
jerez,Circuito de Jerez,Spanish Grand Prix,Jerez de la Frontera,36.7083,-6.03417
kyalami,Kyalami,South African Grand Prix,Midrand,-25.9894,28.0767
las_vegas,Las Vegas Street Circuit,Caesars Palace Grand Prix,Nevada,36.1162,-115.174
lemans,Le Mans,French Grand Prix,Le Mans,47.95,0.224231
long_beach,Long Beach,United States Grand Prix West,California,33.7651,-118.189
losail,Losail International Circuit,Qatar Grand Prix,Al Daayen,25.49,51.4542
magny_cours,Circuit de Nevers Magny-Cours,French Grand Prix,Magny Cours,46.8642,3.16361
marina_bay,Marina Bay Street Circuit,Singapore Grand Prix,Marina Bay,1.2914,103.864
miami,Miami International Autodrome,Miami Grand Prix,Miami,25.9581,-80.2389
monaco,Circuit de Monaco,Monaco Grand Prix,Monte-Carlo,43.7347,7.42056
monsanto,Monsanto Park Circuit,Portuguese Grand Prix,Lisbon,38.7197,-9.20306
montjuic,Montjuïc,Spanish Grand Prix,Barcelona,41.3664,2.15167
monza,Autodromo Nazionale di Monza,Italian Grand Prix,Monza,45.6156,9.28111
mosport,Mosport International Raceway,Canadian Grand Prix,Ontario,44.0481,-78.6756
mugello,Autodromo Internazionale del Mugello,Tuscan Grand Prix,Mugello,43.9975,11.3719
nivelles,Nivelles-Baulers,Belgian Grand Prix,Brussels,50.6211,4.32694
nurburgring,Nürburgring,German Grand Prix,Nürburg,50.3356,6.9475
okayama,Okayama International Circuit,Pacific Grand Prix,Okayama,34.915,134.221
pedralbes,Circuit de Pedralbes,Spanish Grand Prix,Barcelona,41.3903,2.11667
pescara,Pescara Circuit,Pescara Grand Prix,Pescara,42.475,14.1508
phoenix,Phoenix street circuit,United States Grand Prix,Phoenix,33.4479,-112.075
portimao,Autódromo Internacional do Algarve,Portuguese Grand Prix,Portimão,37.227,-8.6267
red_bull_ring,Red Bull Ring,Austrian Grand Prix,Spielberg,47.2197,14.7647
reims,Reims-Gueux,French Grand Prix,Reims,49.2542,3.93083
ricard,Circuit Paul Ricard,French Grand Prix,Le Castellet,43.2506,5.79167
riverside,Riverside International Raceway,United States Grand Prix,California,33.937,-117.273
rodriguez,Autódromo Hermanos Rodríguez,Mexican Grand Prix,Mexico City,19.4042,-99.0907
sebring,Sebring International Raceway,United States Grand Prix,Florida,27.4547,-81.3483
sepang,Sepang International Circuit,Malaysian Grand Prix,Kuala Lumpur,2.76083,101.738
shanghai,Shanghai International Circuit,Chinese Grand Prix,Shanghai,31.3389,121.22
silverstone,Silverstone Circuit,British Grand Prix,Silverstone,52.0786,-1.01694
sochi,Sochi Autodrom,Russian Grand Prix,Sochi,43.4057,39.9578
spa,Circuit de Spa-Francorchamps,Belgian Grand Prix,Spa,50.4372,5.97139
suzuka,Suzuka Circuit,Japanese Grand Prix,Suzuka,34.8431,136.541
tremblant,Circuit Mont-Tremblant,Canadian Grand Prix,Quebec,46.1877,-74.6099
valencia,Valencia Street Circuit,European Grand Prix,Valencia,39.4589,-0.331667
vegas,Las Vegas Strip Street Circuit,Las Vegas Grand Prix,Las Vegas,36.1147,-115.173
villeneuve,Circuit Gilles Villeneuve,Canadian Grand Prix,Montreal,45.5,-73.5228
watkins_glen,Watkins Glen,United States Grand Prix,New York State,42.3369,-76.9272
yas_marina,Yas Marina Circuit,Abu Dhabi Grand Prix,Abu Dhabi,24.4672,54.6031
yeongam,Korean International Circuit,Korean Grand Prix,Yeongam County,34.7333,126.417
zandvoort,Circuit Park Zandvoort,Dutch Grand Prix,Zandvoort,52.3888,4.54092
zeltweg,Zeltweg,Austrian Grand Prix,Styria,47.2039,14.7478
zolder,Zolder,Belgian Grand Prix,Heusden-Zolder,50.9894,5.25694
