Race,Position,Driver,Team
British Grand Prix,1,Nino Farina,Alfa Romeo
British Grand Prix,2,Luigi Fagioli,Alfa Romeo
British Grand Prix,3,Reg Parnell,Alfa Romeo
British Grand Prix,4,Yves Cabantous,Talbot-Lago
British Grand Prix,5,Louis Rosier,Talbot-Lago
British Grand Prix,6,Bob Gerard,ERA
British Grand Prix,7,Cuth Harrison,ERA
British Grand Prix,8,Philippe Étancelin,Talbot-Lago
British Grand Prix,9,David Hampshire,Maserati
British Grand Prix,10,Brian Shawe Taylor,Maserati
British Grand Prix,10,Joe Fry,Maserati
British Grand Prix,11,Johnny Claes,Talbot-Lago
British Grand Prix,12,Juan Fangio,Alfa Romeo
British Grand Prix,13,Joe Kelly,Alta
British Grand Prix,14,Prince Bira,Maserati
British Grand Prix,15,David Murray,Maserati
British Grand Prix,16,Geoff Crossley,Alta
British Grand Prix,17,Toulo de Graffenried,Maserati
British Grand Prix,18,Louis Chiron,Maserati
British Grand Prix,19,Eugène Martin,Talbot-Lago
British Grand Prix,20,Peter Walker,ERA
British Grand Prix,20,Tony Rolt,ERA
British Grand Prix,21,Leslie Johnson,ERA
Monaco Grand Prix,1,Juan Fangio,Alfa Romeo
Monaco Grand Prix,2,Alberto Ascari,Ferrari
Monaco Grand Prix,3,Louis Chiron,Maserati
Monaco Grand Prix,4,Raymond Sommer,Ferrari
Monaco Grand Prix,5,Prince Bira,Maserati
Monaco Grand Prix,6,Bob Gerard,ERA
Monaco Grand Prix,7,Johnny Claes,Talbot-Lago
Monaco Grand Prix,8,Luigi Villoresi,Ferrari
Monaco Grand Prix,9,Philippe Étancelin,Talbot-Lago
Monaco Grand Prix,10,José Froilán González,Maserati
Monaco Grand Prix,11,Nino Farina,Alfa Romeo
Monaco Grand Prix,12,Luigi Fagioli,Alfa Romeo
Monaco Grand Prix,13,Louis Rosier,Talbot-Lago
Monaco Grand Prix,14,Robert Manzon,Simca
Monaco Grand Prix,15,Toulo de Graffenried,Maserati
Monaco Grand Prix,16,Maurice Trintignant,Simca
Monaco Grand Prix,17,Cuth Harrison,ERA
Monaco Grand Prix,18,Franco Rol,Maserati
Monaco Grand Prix,19,Harry Schell,Cooper
Monaco Grand Prix,20,Peter Whitehead,Ferrari
Monaco Grand Prix,21,Alfredo Pián,Maserati
Indianapolis 500,1,Johnnie Parsons,Kurtis Kraft
Indianapolis 500,2,Bill Holland,Deidt
Indianapolis 500,3,Mauri Rose,Deidt
Indianapolis 500,4,Cecil Green,Kurtis Kraft
Indianapolis 500,5,Joie Chitwood,Kurtis Kraft
Indianapolis 500,5,Tony Bettenhausen,Kurtis Kraft
Indianapolis 500,6,Lee Wallard,Moore
Indianapolis 500,7,Walt Faulkner,Kurtis Kraft
Indianapolis 500,8,George Connor,Lesovsky
Indianapolis 500,9,Paul Russo,Nichels
Indianapolis 500,10,Pat Flaherty,Kurtis Kraft
Indianapolis 500,11,Myron Fohr,Marchese
Indianapolis 500,12,Duane Carter,Stevens
Indianapolis 500,13,Mack Hellings,Kurtis Kraft
Indianapolis 500,14,Jack McGrath,Kurtis Kraft
Indianapolis 500,15,Troy Ruttman,Lesovsky
Indianapolis 500,16,Gene Hartley,Langley
Indianapolis 500,17,Jimmy Davies,Ewing
Indianapolis 500,18,Johnny McDowell,Kurtis Kraft
Indianapolis 500,19,Walt Brown,Kurtis Kraft
Indianapolis 500,20,Travis Webb,Maserati
Indianapolis 500,21,Jerry Hoyt,Kurtis Kraft
Indianapolis 500,22,Walt Ader,Rae
Indianapolis 500,23,Jackie Holmes,Olson
Indianapolis 500,24,Jim Rathmann,Wetteroth
Indianapolis 500,25,Henry Banks,Maserati
Indianapolis 500,26,Bill Schindler,Snowberger
Indianapolis 500,27,Bayliss Levrett,Adams
Indianapolis 500,27,Bill Cantrell,Adams
Indianapolis 500,28,Fred Agabashian,Kurtis Kraft
Indianapolis 500,29,Jimmy Jackson,Kurtis Kraft
Indianapolis 500,30,Sam Hanks,Kurtis Kraft
Indianapolis 500,31,Tony Bettenhausen,Deidt
Indianapolis 500,32,Dick Rathmann,Watson
Indianapolis 500,33,Duke Dinsmore,Kurtis Kraft
Swiss Grand Prix,1,Nino Farina,Alfa Romeo
Swiss Grand Prix,2,Luigi Fagioli,Alfa Romeo
Swiss Grand Prix,3,Louis Rosier,Talbot-Lago
